1|Openbet|OPENBET|A|2|
2|ProveURU|PROVEURU|A|3|
3|Geopoint|GEOPOINT|A|4|
4|Capscan|CAPSCAN|A|5|
5|Datacash|DATACASH|A|6|
6|Generic|GENERIC|A|7|
7|Authenticate Pro|AUTH_PRO|A|1|
