99|1|372|C|0|Postcode for address #2 was truncated (to 8 characters).|
100|1|373|C|0|Postcode for address #3 was truncated (to 8 characters).|
101|1|374|C|0|Postcode for address #4 was truncated (to 8 characters).|
102|1|400|C|0|Age under 18.|
103|1|401|C|0|Age over 102.|
104|1|4011|W|0|Many addresses found for address #1. Insufficient address information provided by user to obtain a unique match.|
105|1|4012|W|0|Many addresses found for address #2. Insufficient address information provided by user to obtain a unique match.|
106|1|4013|W|0|Many addresses found for address #3. Insufficient address information provided by user to obtain a unique match.|
107|1|4014|W|0|Many addresses found for address #4. Insufficient address information provided by user to obtain a unique match.|
108|1|402|C|0|Date of birth format supplied is not valid.|
109|1|4021|W|0|Reference data accounts for some years in range specified by user for address #1.|
110|1|4022|W|0|Reference data accounts for some years in range specified by user for address #2.|
111|1|4023|W|0|Reference data accounts for some years in range specified by user for address #3.|
112|1|4024|W|0|Reference data accounts for some years in range specified by user for address #4.|
113|1|4031|W|0|There were years specified by the user that cannot be supported by the data for address #1. (Data supports 1984 to 2003 inclusive)|
114|1|4032|W|0|There were years specified by the user that cannot be supported by the data for address #2. (Data supports 1984 to 2003 inclusive)|
115|1|4033|W|0|There were years specified by the user that cannot be supported by the data for address #3. (Data supports 1984 to 2003 inclusive)|
116|1|4034|W|0|There were years specified by the user that cannot be supported by the data for address #4. (Data supports 1984 to 2003 inclusive)|
117|1|4041|W|0|Reference data suggests that the target was not resident at address #1 during some years specified by the user.|
118|1|4042|W|0|Reference data suggests that the target was not resident at address #2 during some years specified by the user.|
119|1|4043|W|0|Reference data suggests that the target was not resident at address #3 during some years specified by the user.|
120|1|4044|W|0|Reference data suggests that the target was not resident at address #4 during some years specified by the user.|
121|1|4051|W|0|Many addresses found for address #1. Insufficient address information provided by user to obtain a unique match.|
122|1|4052|W|0|Many addresses found for address #2. Insufficient address information provided by user to obtain a unique match.|
123|1|4053|W|0|Many addresses found for address #3. Insufficient address information provided by user to obtain a unique match.|
124|1|4054|W|0|Many addresses found for address #4. Insufficient address information provided by user to obtain a unique match.|
125|1|4091|W|0|Forename alias matched address #1|
126|1|4092|W|0|Forename alias matched address #2|
127|1|4093|W|0|Forename alias matched address #3|
128|1|4094|W|0|Forename alias matched address #4|
129|1|4100|W|0|Test mode active, only seed records will be processed.|
130|1|4101|W|0|Test seed used in live mode, check not performed.|
131|1|7001|N|0|Address #1 details did not match|
132|1|7002|N|0|Address #2 details did not match|
133|1|7003|N|0|Address #3 details did not match|
134|1|7004|N|0|Address #4 details did not match|
135|1|7011|N|0|Middle initial did not match address #1|
136|1|7012|N|0|Middle initial did not match address #2|
137|1|7013|N|0|Middle initial did not match address #3|
138|1|7014|N|0|Middle initial did not match address #4|
139|1|7021|N|0|Forename did not match address #1|
140|1|7022|N|0|Forename did not match address #2|
141|1|7023|N|0|Forename did not match address #3|
142|1|7024|N|0|Forename did not match address #4|
143|1|7031|N|0|Surname did not match address #1|
144|1|7032|N|0|Surname did not match address #2|
145|1|7033|N|0|Surname did not match address #3|
146|1|7034|N|0|Surname did not match address #4|
147|1|7041|N|0|Reference data accounts for none of the years in the range specified by user for address #1|
148|1|7042|N|0|Reference data accounts for none of the years in the range specified by user for address #2|
149|1|7043|N|0|Reference data accounts for none of the years in the range specified by user for address #3|
150|1|7044|N|0|Reference data accounts for none of the years in the range specified by user for address #4|
151|1|7051|N|0|Reference data suggests that years are unaccounted for by user for address #1|
152|1|7052|N|0|Reference data suggests that years are unaccounted for by user for address #2|
153|1|7053|N|0|Reference data suggests that years are unaccounted for by user for address #3|
154|1|7054|N|0|Reference data suggests that years are unaccounted for by user for address #4|
155|1|7071|N|0|Date of birth did not match person at address #1.|
156|1|7091|N|0|Title did not match address #1.|
157|1|7101|N|0|Address #1 details are not valid.|
158|1|7111|N|0|Middle initial did not match address #1.|
159|1|7121|N|0|Forename did not match address #1.|
160|1|7131|N|0|Surname did not match address #1.|
161|1|7191|N|0|Title did not match address #1.|
162|2|1001|M|1|Address #1 details matched|
163|2|1002|M|0|Address #2 details matched|
164|2|1003|M|0|Address #3 details matched|
165|2|1004|M|0|Address #4 details matched|
166|2|101|C|0|No middle initial specified by user|
167|2|1011|M|10|Surname details matched address #1|
168|2|1012|M|0|Surname details matched address #2|
169|2|1013|M|0|Surname details matched address #3|
170|2|1014|M|0|Surname details matched address #4|
171|2|1021|M|1000|Forename details matched address #1|
172|2|1022|M|0|Forename details matched address #2|
173|2|1023|M|0|Forename details matched address #3|
174|2|1024|M|0|Forename details matched address #4|
175|2|1031|M|0|Middle initial matched address #1|
176|2|1032|M|0|Middle initial matched address #2|
177|2|1033|M|0|Middle initial matched address #3|
178|2|1034|M|0|Middle initial matched address #4|
179|2|1041|M|0|Reference data accounts for all years in range specified by user for address #1|
180|2|1042|M|0|Reference data accounts for all years in range specified by user for address #2|
181|2|1043|M|0|Reference data accounts for all years in range specified by user for address #3|
182|2|1044|M|0|Reference data accounts for all years in range specified by user for address #4|
183|2|1051|M|0|Reference data suggests that no years are unaccounted for by user for address #1|
184|2|1052|M|0|Reference data suggests that no years are unaccounted for by user for address #2|
185|2|1053|M|0|Reference data suggests that no years are unaccounted for by user for address #3|
186|2|1054|M|0|Reference data suggests that no years are unaccounted for by user for address #4|
187|2|111|C|0|No details supplied by user for address #1|
188|2|112|C|0|No details supplied by user for address #2|
189|2|113|C|0|No details supplied by user for address #3|
190|2|114|C|0|No details supplied by user for address #4|
191|2|140|C|0|Surname not supplied by user|
192|2|141|C|0|Forename not supplied by user|
193|2|151|C|0|First year of residence for address #1 not supplied by user.|
194|2|152|C|0|First year of residence for address #2 not supplied by user.|
195|2|153|C|0|First year of residence for address #3 not supplied by user.|
196|2|154|C|0|First year of residence for address #4 not supplied by user.|
197|2|161|C|0|Last year of residence for address #1 not supplied by user.|
198|2|162|C|0|Last year of residence for address #2 not supplied by user.|
199|2|163|C|0|Last year of residence for address #3 not supplied by user.|
200|2|164|C|0|Last year of residence for address #4 not supplied by user.|
201|2|171|C|0|Specified first year residence is after the stated last year of residence for address #1.|
202|2|172|C|0|Specified first year residence is after the stated last year of residence for address #2.|
203|2|173|C|0|Specified first year residence is after the stated last year of residence for address #3.|
204|2|174|C|0|Specified first year residence is after the stated last year of residence for address #4.|
205|2|181|C|0|No building details supplied by user for address #1|
206|2|182|C|0|No building details supplied by user for address #2|
