Group,Code,en
Admin Xlations,Admin.SEO.META_EXAMPLE,"<i>Optional sections of text may be included using square brackets.<br>	These should include <b>ONE</b> placeholder only (eg. [and <>EVENT<> betting] )<br> and should always be separated by a space. (eg [<>EVENT<>] [<>EVENT<>])<br><br> Also please note that it is not advisable to mix and match regular &amp; optional placeholders.<br> eg. <b><>CLASS<> betting [with <>TYPE<> odds] [and <>TYPE<> odds]</b> is fine <br>	and <b><>CLASS<> betting with <>TYPE<> odds and <>TYPE<> odds</b> is fine <br> but <b><>CLASS<> betting with <>TYPE<> odds [and <>TYPE<> odds]</b> is not advised </i>"
Admin Xlations,Admin.SEO.META_H1_H2_TAGS,H1 / H2 Tags
Admin Xlations,Admin.SEO.META_KEYWORDS,Keywords
Admin Xlations,Admin.SEO.META_REMAINING,Remaining
Admin Xlations,Admin.SEO.META_TITLE,Title
Admin Xlations,Admin.SEO.PKW,Problem Keywords (PKWs)
Admin Xlations,Admin.SEO.PKW_DELETE,Delete
Admin Xlations,Admin.SEO.PKW_DESC," - <i>Contains a list of words which will be removed during tag build to prevent duplication</i>"
Admin Xlations,Admin.SEO.PKW_NONE,None
Admin Xlations,Admin.SEO.SAVE_ALL_BUTTON,Save All
Admin Xlations,Admin.SEO.STATIC_PAGES,Static Pages
Admin Xlations,Admin.SEO.STATIC_PAGE_DELETE_TAG,Delete Tag
Admin Xlations,Admin.SEO.STATIC_PAGE_EDIT_EXISTING_PAGE,Edit Existing Page
Admin Xlations,Admin.SEO.STATIC_PAGE_META_TAGS,Meta Tags
Admin Xlations,Admin.SEO.STATIC_PAGE_TAGS,Static Page Tags
Admin Xlations,Admin.SEO.STATIC_PAGE_TITLE,Title
Admin Xlations,Admin.SEO.STATIC_PAGE_URL,URL
Admin Xlations,Admin.SEO.TAGS,tags
Admin Xlations,Admin.SEO.TITLE_TAG,SEO Title Tagging
Admin Xlations,Admin.SUPPORT_EMAIL_MESSAGE,Please go through your helpdesk process
Admin Xlations,Admin.Y_N.Y, Yes
Admin Xlations,Admin.Y_N.N, No
Admin Xlations,Admin.Cust_Daily_Totals.DAILY_TOTALS,Daily Totals
Admin Xlations,Admin.Cust_Daily_Totals.BETS,Bets
Admin Xlations,Admin.Cust_Daily_Totals.TYPE,Type
Admin Xlations,Admin.Cust_Daily_Totals.STAKED,Staked
Admin Xlations,Admin.Cust_Daily_Totals.SETTLED,Settled
Admin Xlations,Admin.Cust_Daily_Totals.UNSETTLED,Unsettled
Admin Xlations,Admin.Cust_Daily_Totals.WINNINGS,Winnings
