Group,Code,en
Admin Xlations,Admin.Bet_Receipt.RETRO_TERM_CODE,Retrospective line no
Admin Xlations,Admin.Bet_Receipt.SELN,Selection
Admin Xlations,Admin.Bet_Receipt.SELN_DETAILS,Selection Details
Admin Xlations,Admin.Bet_Receipt.SETTLED_AT,Settled at
Admin Xlations,Admin.Bet_Receipt.SETTLED_BY,Settled by
Admin Xlations,Admin.Bet_Receipt.SETTLED_BY_SETTLER,by settler
Admin Xlations,Admin.Bet_Receipt.SETTLED_MANUALLY,manually
Admin Xlations,Admin.Bet_Receipt.SETTLE_BET_BUTTON,Settle Bet
Admin Xlations,Admin.Bet_Receipt.SETTLE_INFO,Comment
Admin Xlations,Admin.Bet_Receipt.SORT,Sort
Admin Xlations,Admin.Bet_Receipt.SOURCE,Source
Admin Xlations,Admin.Bet_Receipt.STAKE,Stake
Admin Xlations,Admin.Bet_Receipt.STAKE_PER_LINE,Stake per line
Admin Xlations,Admin.Bet_Receipt.TAX,Tax
Admin Xlations,Admin.Bet_Receipt.TERMINAL_ID,Line no
Admin Xlations,Admin.Bet_Receipt.TOKEN_VALUE,Token Value
Admin Xlations,Admin.Bet_Receipt.TOTAL_NUM_LINES_SHOULD_BE,Total number of lines should be
Admin Xlations,Admin.Bet_Receipt.TO_SETTLE_ON,To Settle On
Admin Xlations,Admin.Bet_Receipt.UNPAID,Unpaid
Admin Xlations,Admin.Bet_Receipt.UPDATE_BUTTON,Update
Admin Xlations,Admin.Bet_Receipt.VALUE,Value
Admin Xlations,Admin.Bet_Receipt.VOID_LINES,Void Lines
Admin Xlations,Admin.Bet_Receipt.WINNINGS,Winnings
Admin Xlations,Admin.Bet_Receipt.WINNINGS_TAX,Winnings Tax
Admin Xlations,Admin.Bet_Receipt.WIN_LINES,Win lines
Admin Xlations,Admin.Bet_Search.ACCT_NO,Account No
Admin Xlations,Admin.Bet_Search.ALL,All
Admin Xlations,Admin.Bet_Search.ALLOW_STARTED_EVS_IN_BET,Allow started events in bet
Admin Xlations,Admin.Bet_Search.ALLOW_SUSP_SELNS_IN_BET,Allow suspended selections in bet
Admin Xlations,Admin.Bet_Search.ANTEPOST_BET,Antepost Bet
Admin Xlations,Admin.Bet_Search.ANTEPOST_BET_PAID,Paid
Admin Xlations,Admin.Bet_Search.ANTEPOST_BET_UNPAID,Unpaid
Admin Xlations,Admin.Bet_Search.BATCH_REF,Batch Reference
Admin Xlations,Admin.Bet_Search.BETS_PENDING_SETTLEMENT,Bets pending settlement
Admin Xlations,Admin.Bet_Search.BETS_TO_BE_STLD_MANUALLY,Bets to be settled manually
Admin Xlations,Admin.Bet_Search.BETTOR_NAME,Name
Admin Xlations,Admin.Bet_Search.BET_DETAILS,Bet details
Admin Xlations,Admin.Bet_Search.BET_IS,Bet is
Admin Xlations,Admin.Bet_Search.BET_PLACED_BETWEEN,Bet placed between
Admin Xlations,Admin.Bet_Search.BET_SEARCH_CRITERIA,Bet Search Criteria
Admin Xlations,Admin.Bet_Search.BET_STATUS_IS,Bet status is
Admin Xlations,Admin.Bet_Search.BET_TYPE,Bet Type
Admin Xlations,Admin.Bet_Search.BLOCKED_BETS_STATUS_FLAG,BLOCKED Bets Status Flag
Admin Xlations,Admin.Bet_Search.BY_SETTLER,By settler
Admin Xlations,Admin.Bet_Search.CHANNEL,Channel
Admin Xlations,Admin.Bet_Search.CREDIT_LIMIT,Credit Limit
Admin Xlations,Admin.Bet_Search.CUST_INFO,Customer information
Admin Xlations,Admin.Bet_Search.DENOTES_MAN_SETTLEMENT,Denotes manual settlement
Admin Xlations,Admin.Bet_Search.DEP_ACCT_WITH_LOW_FUNDS,Deposit account bet with low funds
Admin Xlations,Admin.Bet_Search.DEP_NOT_ALLOWED_FLAG,DEPOSITS not allowed Status Flag
Admin Xlations,Admin.Bet_Search.DISP_ORIGINAL_PRICE,Display Original Price
Admin Xlations,Admin.Bet_Search.EARLIEST_SELN,Earliest selection
Admin Xlations,Admin.Bet_Search.ELITE_ONLY,Elite Only
Admin Xlations,Admin.Bet_Search.EMAIL_LIKE,Email like
Admin Xlations,Admin.Bet_Search.EVENT_DATE_BETWEEN,Event date between
Admin Xlations,Admin.Bet_Search.EVENT_STATUS_IS,Event Status is
Admin Xlations,Admin.Bet_Search.FAILED_FRAUD_FLAG,FRAUD check failed Status Flag
